Date,Warehouse,Category,Subcategory,Agent,Handling_Time(min),Satisfaction,Escalated
2024-03-01,德國,商品,某商品能不能買/運回台灣,Carol,4,4.0,No
2024-03-01,美國,訂單,商品未到，確定訂單狀態,Hank,26,4.3,Yes
2024-03-01,中國,倉儲,商品到台灣是否能放在倉庫及天數相關,Bob,19,4.1,No
2024-03-01,日本,商品,某商品能不能協助代購,Alice,3,4.1,No
2024-03-01,德國,商品,某商品運回來是否違法或需要付關費,Jack,17,4.0,No
2024-03-01,德國,訂單,商品轉其他物流寄送,Grace,9,4.1,No
2024-03-01,日本,訂單,商品毀損相關,Bob,29,3.6,No
2024-03-01,德國,其他,節日活動相關,Grace,6,3.3,No
2024-03-01,美國,商品,某商品運回來是否違法或需要付關費,Hank,11,4.0,No
2024-03-02,德國,其他,抱怨相關,Frank,13,4.5,No
2024-03-02,日本,訂單,商品毀損相關,Hank,11,4.6,No
2024-03-02,德國,商品,某商品能不能買/運回台灣,Carol,10,4.8,No
2024-03-02,美國,商品,某商品能不能協助代購,David,1,4.0,No
2024-03-02,日本,商品,某商品能否倉儲自取或協助寄往其他地方,David,4,3.6,No
2024-03-02,中國,訂單,商品購買加值服務需求,Ivy,16,3.5,No
2024-03-02,德國,訂單,已付款訂單未成立,David,16,3.9,Yes
2024-03-02,台灣,訂單,商品轉其他物流寄送,Frank,23,3.1,No
2024-03-02,美國,商品,某商品能不能協助代購,Bob,5,4.5,No
2024-03-02,中國,訂單,商品購買加值服務需求,Jack,33,4.3,No
2024-03-02,德國,倉儲,商品到台灣是否能放在倉庫及天數相關,Hank,13,3.7,No
2024-03-02,美國,訂單,商品毀損相關,Grace,41,4.8,No
2024-03-03,中國,訂單,商品購買加值服務需求,Emma,29,3.8,No
2024-03-03,台灣,倉儲,商品滯留過久是否有要收費,Alice,17,1.6,No
2024-03-03,德國,其他,抱怨相關,David,1,4.7,No
2024-03-03,中國,訂單,商品收到與訂單內容不符,Carol,22,2.0,Yes
2024-03-03,德國,訂單,商品購買加值服務需求,Frank,18,3.2,Yes
2024-03-03,日本,倉儲,商品滯留過久以致倉庫丟失相關,David,13,2.9,No
2024-03-04,中國,倉儲,商品滯留過久以致倉庫丟失相關,Jack,22,3.7,No
2024-03-04,台灣,商品,某商品運回來是否違法或需要付關費,Hank,13,4.1,No
2024-03-04,美國,商品,某商品能不能協助代購,Bob,3,4.8,No
2024-03-04,德國,訂單,商品未到，確定訂單狀態,Bob,18,2.5,No
2024-03-04,中國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Bob,28,3.8,No
2024-03-04,德國,商品,某商品能否倉儲自取或協助寄往其他地方,David,12,4.6,No
2024-03-04,日本,商品,某商品運回來是否違法或需要付關費,Jack,18,4.9,No
2024-03-04,中國,訂單,商品毀損相關,Emma,25,3.9,No
2024-03-04,台灣,倉儲,商品滯留過久是否有要收費,Ivy,7,3.1,Yes
2024-03-04,德國,訂單,商品轉其他物流寄送,Grace,18,3.9,Yes
2024-03-05,中國,商品,某商品能不能買/運回台灣,Ivy,17,4.4,No
2024-03-05,日本,訂單,商品購買加值服務需求,Emma,8,2.6,No
2024-03-05,美國,倉儲,商品是否重新加工完成,Carol,37,2.6,No
2024-03-05,美國,倉儲,商品滯留過久是否有要收費,Hank,32,5.0,No
2024-03-05,中國,倉儲,商品到台灣是否能放在倉庫及天數相關,David,27,4.7,No
2024-03-05,日本,倉儲,商品滯留過久以致倉庫丟失相關,Bob,17,3.2,No
2024-03-05,中國,商品,某商品能不能買/運回台灣,David,17,3.3,No
2024-03-05,德國,商品,某商品能不能買/運回台灣,Alice,10,4.3,No
2024-03-05,德國,訂單,商品未到，確定訂單狀態,Alice,25,4.5,Yes
2024-03-05,日本,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Grace,19,2.8,No
2024-03-05,德國,訂單,已付款訂單未成立,Alice,16,3.4,Yes
2024-03-06,德國,商品,某商品能否倉儲自取或協助寄往其他地方,Frank,21,4.4,No
2024-03-06,中國,商品,某商品運回來是否違法或需要付關費,Jack,19,4.0,No
2024-03-06,德國,訂單,商品購買加值服務需求,Ivy,18,2.3,No
2024-03-06,美國,商品,某商品能不能協助代購,Jack,3,4.2,No
2024-03-06,德國,倉儲,訂購商品是否有送到某倉庫,Grace,19,3.6,No
2024-03-06,德國,商品,某商品運回來是否違法或需要付關費,Ivy,1,4.6,No
2024-03-06,美國,訂單,商品轉其他物流寄送,Bob,11,4.2,No
2024-03-06,德國,訂單,已付款訂單未成立,Bob,24,4.9,Yes
2024-03-06,德國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Emma,20,2.5,No
2024-03-06,日本,其他,抱怨相關,David,11,4.0,No
2024-03-06,台灣,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Emma,17,5.0,No
2024-03-06,中國,商品,某商品運回來是否違法或需要付關費,Hank,2,3.8,No
2024-03-07,台灣,訂單,商品毀損相關,Frank,20,3.6,No
2024-03-07,中國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Frank,10,4.5,Yes
2024-03-07,中國,訂單,商品未到，確定訂單狀態,Grace,16,3.3,Yes
2024-03-07,美國,商品,某商品能否倉儲自取或協助寄往其他地方,Jack,3,3.9,No
2024-03-07,中國,倉儲,商品滯留過久以致倉庫丟失相關,Bob,17,4.7,No
2024-03-07,中國,訂單,商品毀損相關,Bob,14,3.8,No
